Customer_Number,Customer_Name,Terms_of_Payment,Discount_Percentage,Highest_Dunning_Level,Number_of_Open_Invoices,Period
1475,Kamala Sharma Suppliers,30,5.8,4,56,18
1476,Sita Agarwal Traders,90,12.8,1,29,57
1477,Ramkrishna Patel Industries,15,1.2,9,73,1
1478,Shivlal Joshi Enterprises,45,7.5,3,54,27
1479,Radhika Bansal Exporters,75,13.5,1,17,63
1480,Geetadevi Verma Wholesalers,30,4.5,4,57,14
1481,Ramnarayan Yadav Trading,60,11.8,2,30,49
1482,Shobhadevi Singh Manufacturing,20,2.5,8,74,4
1483,Savitri Malhotra Distributors,90,14.2,1,18,66
1484,Kamladevi Kapoor Suppliers,30,6.8,2,55,21
1485,Bhagwan Kumar Traders,45,9.2,1,37,33
1486,Sushila Gupta Industries,75,12.2,1,31,54
1487,Ramchandra Sharma Enterprises,15,3.2,6,75,5
1488,Ganga Agarwal Exporters,60,10.5,2,38,44
1489,Shivram Patel Wholesalers,30,5.2,4,58,15
1490,Radhika Joshi Trading,90,15.8,1,12,75
1491,Ramgopal Bansal Manufacturing,20,1.8,7,76,2
1492,Shantidevi Verma Distributors,45,8.8,3,56,31
1493,Kamala Yadav Suppliers,75,11.5,2,32,48
1494,Bhagwanlal Singh Traders,30,4.8,4,59,16
1495,Sita Malhotra Industries,60,9.5,1,39,40
1496,Geetabai Kapoor Enterprises,15,2.2,9,77,2
1497,Ramkrishna Kumar Exporters,90,13.8,1,19,63
1498,Shobha Gupta Wholesalers,30,6.2,3,57,20
1499,Ramlal Sharma Trading,45,7.8,2,40,29
1500,Savitradevi Agarwal Manufacturing,75,14.5,1,15,69
